# F0-R0 PARAMETER SCAN
# FBA model ../../ModelFiles/ecFBA/Modified/reducedEcYeast_modified_withDamage.mat with objective max. growth (parsimonious)
# Boolean model ../../ModelFiles/Boolean/Modified/rules.txt, ../../ModelFiles/Boolean/Modified/species.txt
# TF layer ../../ModelFiles/Boolean/Modified/TFtargets.txt
damage formation	damage repair	regulation factor	rls	average generation time	time phase 1	rls phase 1	damage phase 1	time phase 2	rls phase 2	damage phase 2	time phase 3	rls phase 3	damage phase 3	status
0.0017	0.02	0.02	15	1.4857142857142875	11.499999999999975	9.0	0.04892813579577864	6.199999999999994	4.0	0.19249330664488312	10.19999999999998	2.0	0.27083263457731	dead (regular)
0.0018	0.02	0.02	14	1.369230769230768	11.499999999999975	9.0	0.051601708808798975	6.399999999999993	4.0	0.20063509365421947	3.5000000000000018	1.0	0.2452921634296817	dead (regular)
0.0019	0.02	0.02	13	1.3666666666666636	10.29999999999998	8.0	0.04115116640792566	6.199999999999994	4.0	0.19627732148168675	3.4000000000000017	1.0	0.24062787240293654	dead (regular)
0.002	0.02	0.02	13	1.3666666666666636	10.29999999999998	8.0	0.043214166435378634	6.199999999999994	4.0	0.1948700567286517	3.3000000000000016	1.0	0.23951613749522277	dead (regular)
0.0	0.0	0.04	67	1.469696969696951	99.9999999999986	67.0	0.0	0.0	0.0	NaN	0.0	0.0	NaN	alive
0.0001	0.0	0.04	23	1.595454545454556	23.800000000000068	16.0	0.020998836635336575	10.599999999999978	6.0	0.21012006236985656	6.499999999999993	1.0	0.2733671610196982	dead (regular)
0.0002	0.0	0.04	20	1.573684210526324	19.400000000000006	13.0	0.018131130006126223	9.399999999999983	6.0	0.18810053923972198	4.200000000000001	1.0	0.2448274905537292	dead (regular)
0.0003	0.0	0.04	19	1.6500000000000083	17.899999999999984	12.0	0.02161632569523508	7.999999999999988	5.0	0.16979962210450178	11.999999999999973	2.0	0.2882561427376746	dead (regular)
0.0004	0.0	0.04	18	1.6588235294117724	16.399999999999963	11.0	0.021946534785324844	7.999999999999988	5.0	0.16938547461810016	11.899999999999974	2.0	0.28797764065772985	dead (regular)
0.0005	0.0	0.04	17	1.6250000000000062	14.999999999999963	10.0	0.02044037222015746	10.29999999999998	6.0	0.20415613412368	5.699999999999996	1.0	0.26634952640649356	dead (regular)
0.0006	0.0	0.04	16	1.646666666666672	13.499999999999968	9.0	0.017874927353933368	10.09999999999998	6.0	0.2066807467056366	5.999999999999995	1.0	0.2698683734198072	dead (regular)
0.0007	0.0	0.04	16	1.6733333333333391	13.499999999999968	9.0	0.021907813639330444	7.899999999999988	5.0	0.16815943647247955	11.799999999999974	2.0	0.28716984399545725	dead (regular)
0.0008	0.0	0.04	15	1.6642857142857186	11.999999999999973	8.0	0.017786476437149226	10.19999999999998	6.0	0.20807348540387677	6.199999999999994	1.0	0.27211593127649486	dead (regular)
0.0009	0.0	0.04	15	1.6642857142857186	11.999999999999973	8.0	0.020769942334696992	10.699999999999978	6.0	0.2123639649792822	6.999999999999991	1.0	0.27809491835667455	dead (regular)
0.001	0.0	0.04	14	1.6000000000000019	11.399999999999975	7.0	0.016766265836021376	8.699999999999985	6.0	0.18494345350744812	4.000000000000002	1.0	0.24185392682366666	dead (regular)
0.0011	0.0	0.04	14	1.6846153846153877	10.499999999999979	7.0	0.018155820500292245	10.29999999999998	6.0	0.21165735218154222	6.8999999999999915	1.0	0.2775956789683144	dead (regular)
0.0012	0.0	0.04	14	1.67692307692308	10.499999999999979	7.0	0.02035669879550275	10.599999999999978	6.0	0.21210779082362985	6.999999999999991	1.0	0.27843577343402237	dead (regular)
0.0013	0.0	0.04	13	1.5916666666666668	10.499999999999979	7.0	0.02254839436117302	8.199999999999987	5.0	0.17715217115171394	28.400000000000134	1.0	0.23924767306354808	dead (regular)
0.0014	0.0	0.04	13	1.6750000000000014	9.399999999999983	6.0	0.016883726580121584	9.799999999999981	6.0	0.20374446850420075	5.699999999999996	1.0	0.2675156251020207	dead (regular)
0.0015	0.0	0.04	13	1.708333333333335	8.999999999999984	6.0	0.01797534204656456	10.399999999999979	6.0	0.21448870678046839	7.499999999999989	1.0	0.28240579986470055	dead (regular)
