# INTERESTING ENZYMES
# from overexpression experiment 
enzyme(s)	standard name	pathway	overexpression span	rls	rls change	enzyme change	lcc	time phase 1	rls phase 1	damage phase 1	time phase 2	rls phase 2	damage phase 2	time phase 3	rls phase 3	damage phase 3	status	why
SDH1	YKL148C	TCA	complete	26	1.1304347826086956	3.813143277566109	0.04636620667310836	27.300000000000118	18.0	0.03374103785802397	13.899999999999967	7.0	0.21183478892343643	26.300000000000104	1.0	0.2726341498149481	dead (regular)	increased lifespan and used more
ATP2	YJR121W	Oxidative Phosphorylation	phase 1	24	1.0434782608695652	1.4128437521632666	0.10531408224477849	29.000000000000142	18.0	0.03553384603902829	5.799999999999995	4.0	0.1783213969282435	16.99999999999997	2.0	0.29938031092131523	dead (regular)	increased lifespan and used more
ATP6	Q0085	Oxidative Phosphorylation	phase 1	24	1.0434782608695652	1.4223407235353553	0.10294593546559931	29.200000000000145	18.0	0.035808172605238525	5.799999999999995	4.0	0.17873116206647502	17.49999999999998	2.0	0.30000745481009244	dead (regular)	increased lifespan and used more
ATP8	Q0080	Oxidative Phosphorylation	phase 1	24	1.0434782608695652	1.429205059969204	0.10129950675018796	29.400000000000148	18.0	0.03601528919082863	5.799999999999995	4.0	0.179041374481569	17.999999999999986	2.0	0.3004659890376031	dead (regular)	increased lifespan and used more
CIT1	YNR001C	TCA	phase 1	24	1.0434782608695652	1.9505198832066273	0.045741558527833306	27.40000000000012	18.0	0.033914303842303845	6.699999999999992	4.0	0.17776651125567317	16.29999999999996	2.0	0.2985337977139582	dead (regular)	increased lifespan and used more
ATP4	YPL078C	Oxidative Phosphorylation	phase 1	24	1.0434782608695652	1.4214350419778456	0.10316717059292571	29.200000000000145	18.0	0.035814793556708496	5.799999999999995	4.0	0.17874286382606672	17.49999999999998	2.0	0.30002702422242294	dead (regular)	increased lifespan and used more
PDC1	YLR044C	Anaerobic excretion	phase 1	24	1.0434782608695652	1.465762387803193	0.09334858719407135	27.100000000000115	19.0	0.04144169613817517	8.699999999999985	4.0	0.20961152841997893	6.399999999999993	1.0	0.2718325987952907	dead (regular)	increased lifespan and used more
ATP1	YBL099W	Oxidative Phosphorylation	phase 1	24	1.0434782608695652	1.4117721040150382	0.10558816502046814	28.90000000000014	18.0	0.03550374031646686	5.899999999999995	4.0	0.17978819704179821	19.1	2.0	0.3015812538879375	dead (regular)	increased lifespan and used more
ATP5	YDR298C	Oxidative Phosphorylation	phase 1	24	1.0434782608695652	1.4222130939228625	0.10297705470382355	29.200000000000145	18.0	0.035842278721465885	5.799999999999995	4.0	0.18022312851019387	20.40000000000002	2.0	0.30214991411612835	dead (regular)	increased lifespan and used more
LPD1	YFL018C	Other	phase 1	24	1.0434782608695652	1.783055955236626	0.05552382378143952	29.700000000000152	18.0	0.036322438514424335	5.899999999999995	4.0	0.1794990916475126	18.499999999999993	2.0	0.3011689833618498	dead (regular)	increased lifespan and used more
LAT1	YNL071W	Other	phase 1	24	1.0434782608695652	1.9303633885098743	0.046732557844094226	29.900000000000155	18.0	0.03666707795786489	5.899999999999995	4.0	0.18128351559129716	24.300000000000075	2.0	0.3034427728127643	dead (regular)	increased lifespan and used more
PDA1	YER178W	Other	phase 1	24	1.0434782608695652	1.8971299211416137	0.04846372843549612	29.700000000000152	18.0	0.036449061898119015	5.799999999999995	4.0	0.18100605751986448	23.20000000000006	2.0	0.3031166604067731	dead (regular)	increased lifespan and used more
PDX1	YGR193C	Other	phase 1	24	1.0434782608695652	1.9303633885098743	0.046732557844094226	29.900000000000155	18.0	0.03666707795786489	5.899999999999995	4.0	0.18128351559129716	24.300000000000075	2.0	0.3034427728127643	dead (regular)	increased lifespan and used more
KGD1	YIL125W	TCA	phase 1	24	1.0434782608695652	1.7124455500563054	0.06102678424495609	27.100000000000115	18.0	0.03360597490610154	6.5999999999999925	4.0	0.1754732130028554	13.899999999999967	2.0	0.2949768873279173	dead (regular)	increased lifespan and used more
ATP15	YPL271W	Oxidative Phosphorylation	phase 1	24	1.0434782608695652	1.429138006147386	0.10131533503614396	29.400000000000148	18.0	0.03601349707353978	5.799999999999995	4.0	0.1790386869497913	17.899999999999984	2.0	0.30047354394898707	dead (regular)	increased lifespan and used more
SDH2	YLL041C	TCA	phase 1	24	1.0434782608695652	1.747106438925228	0.05819553761591475	27.300000000000118	18.0	0.03374103785802397	6.5999999999999925	4.0	0.17567044615267413	14.199999999999966	2.0	0.29527044835238825	dead (regular)	increased lifespan and used more
IDP1	YDL066W	TCA	phase 1	24	1.0434782608695652	1.7509986143552363	0.057893929547251054	27.40000000000012	18.0	0.033848945506880654	6.499999999999993	4.0	0.1758334023502085	14.499999999999964	2.0	0.2955100354064611	dead (regular)	increased lifespan and used more
ATP7	YKL016C	Oxidative Phosphorylation	phase 1	24	1.0434782608695652	1.42302652236094	0.10277904237991999	29.300000000000146	18.0	0.0358680360355387	5.799999999999995	4.0	0.17882078493153897	17.69999999999998	2.0	0.3001314990376208	dead (regular)	increased lifespan and used more
NDI1	YML120C	Oxidative Phosphorylation	phase 1	24	1.0434782608695652	2.0329113310186426	0.042092926627775064	29.60000000000015	18.0	0.03625886026159522	5.799999999999995	4.0	0.180760321918564	22.100000000000044	2.0	0.30284115899582664	dead (regular)	increased lifespan and used more
PDB1	YBR221C	Other	phase 1	24	1.0434782608695652	1.8046500287274254	0.054033752957577334	29.800000000000153	18.0	0.03646402010556228	5.799999999999995	4.0	0.17971471730616068	19.200000000000003	2.0	0.3014463809767046	dead (regular)	increased lifespan and used more
SDH3	YKL141W	TCA	phase 1	24	1.0434782608695652	1.747106438925228	0.05819553761591475	27.300000000000118	18.0	0.03374103785802397	6.5999999999999925	4.0	0.17567044615267413	14.199999999999966	2.0	0.29527044835238825	dead (regular)	increased lifespan and used more
SDH4	YDR178W	TCA	phase 1	24	1.0434782608695652	1.747106438925228	0.05819553761591475	27.300000000000118	18.0	0.03374103785802397	6.5999999999999925	4.0	0.17567044615267413	14.199999999999966	2.0	0.29527044835238825	dead (regular)	increased lifespan and used more
ATP3	YBR039W	Oxidative Phosphorylation	phase 1	24	1.0434782608695652	1.4185924682837607	0.1038677572193956	29.100000000000144	18.0	0.03578512757083609	5.799999999999995	4.0	0.18014952583954838	20.200000000000017	2.0	0.3020513235399618	dead (regular)	increased lifespan and used more
LSC2	YGR244C	TCA	phase 1	24	1.0434782608695652	1.7473898248402842	0.058173471760679156	27.300000000000118	18.0	0.03374103785802397	6.5999999999999925	4.0	0.17567044615267413	14.199999999999966	2.0	0.29527044835238825	dead (regular)	increased lifespan and used more
LSC1	YOR142W	TCA	phase 1	24	1.0434782608695652	1.7473898248402842	0.058173471760679156	27.300000000000118	18.0	0.03374103785802397	6.5999999999999925	4.0	0.17567044615267413	14.199999999999966	2.0	0.29527044835238825	dead (regular)	increased lifespan and used more
OLI1	Q0130	Oxidative Phosphorylation	phase 1	24	1.0434782608695652	1.4290826773237937	0.10132839932094417	29.400000000000148	18.0	0.03601116969620026	5.799999999999995	4.0	0.17903519031877926	17.799999999999983	2.0	0.30047974619224643	dead (regular)	increased lifespan and used more
TIM11	YDR322C-A	Oxidative Phosphorylation	phase 1	24	1.0434782608695652	1.4256994628940916	0.10213369914535698	29.300000000000146	18.0	0.0359677039745146	5.799999999999995	4.0	0.18038471102037043	21.00000000000003	2.0	0.3023466885565076	dead (regular)	increased lifespan and used more
ATP18	YML081C-A	Oxidative Phosphorylation	phase 1	24	1.0434782608695652	1.429138006147386	0.10131533503614396	29.400000000000148	18.0	0.03601349707353978	5.799999999999995	4.0	0.1790386869497913	17.899999999999984	2.0	0.30047354394898707	dead (regular)	increased lifespan and used more
ATP19	YOL077W-A	Oxidative Phosphorylation	phase 1	24	1.0434782608695652	1.429082677323794	0.10132839932094416	29.400000000000148	18.0	0.03601116969620026	5.799999999999995	4.0	0.17903519031877926	17.799999999999983	2.0	0.30047974619224643	dead (regular)	increased lifespan and used more
SDH1	YKL148C	TCA	phase 1	24	1.0434782608695652	1.7487650756822557	0.058066625009117766	27.300000000000118	18.0	0.03374103785802397	6.5999999999999925	4.0	0.17567044615267413	14.099999999999966	2.0	0.29528218493138325	dead (regular)	increased lifespan and used more
ATP17	YDR377W	Oxidative Phosphorylation	phase 1	24	1.0434782608695652	1.4257501026025363	0.10212155112539063	29.300000000000146	18.0	0.0359359351746156	5.799999999999995	4.0	0.1803437678864125	20.800000000000026	2.0	0.30230267589578397	dead (regular)	increased lifespan and used more
ATP16	YDL004W	Oxidative Phosphorylation	phase 1	24	1.0434782608695652	1.4257125045473	0.10213057029132777	29.300000000000146	18.0	0.035932009687077215	5.799999999999995	4.0	0.17891658097818577	17.799999999999983	2.0	0.3002814258190508	dead (regular)	increased lifespan and used more
ATP20	YPR020W	Oxidative Phosphorylation	phase 1	24	1.0434782608695652	1.4257245244357155	0.10212768674107812	29.300000000000146	18.0	0.0359359351746156	5.799999999999995	4.0	0.1803437678864125	20.700000000000024	2.0	0.3023148344210899	dead (regular)	increased lifespan and used more
ATP14	YLR295C	Oxidative Phosphorylation	phase 1	24	1.0434782608695652	1.4227732889957536	0.10284060512158305	29.300000000000146	18.0	0.035932009687077215	5.899999999999995	4.0	0.17891452358269783	17.799999999999983	2.0	0.3002744281973256	dead (regular)	increased lifespan and used more
CIT1,CIT3	YNR001C,YPR001W	TCA	phase 1	24	1.0434782608695652	1.9212339284178435	0.04719567910860183	27.40000000000012	18.0	0.033914303842303845	6.699999999999992	4.0	0.17776651125567317	16.29999999999996	2.0	0.2985337977139582	dead (regular)	increased lifespan and used more
SDH9,SDH1	YJL045W,YKL148C	TCA	phase 1	24	1.0434782608695652	1.7358048259639127	0.059089393457848284	27.300000000000118	18.0	0.03374103785802397	6.5999999999999925	4.0	0.17567044615267413	14.099999999999966	2.0	0.29528218493138325	dead (regular)	increased lifespan and used more
TRX2	YGR209C	Oxidative stress	phase 2	24	1.0434782608695652	1.2806009660255675	0.1549469393687105	23.800000000000068	16.0	0.02074340867030759	8.799999999999985	6.0	0.17809248355760463	16.79999999999997	2.0	0.29902129439725555	dead (regular)	increased lifespan and used more
TRR1	YDR353W	Oxidative stress	phase 2	24	1.0434782608695652	1.2805966448088169	0.1549493255672708	23.800000000000068	16.0	0.02074340867030759	8.799999999999985	6.0	0.17809602905163952	16.79999999999997	2.0	0.2990272261873617	dead (regular)	increased lifespan and used more
TRX1,TRX2	YLR043C,YGR209C	Oxidative stress	phase 2	24	1.0434782608695652	1.2806009660255675	0.1549469393687105	23.800000000000068	16.0	0.02074340867030759	8.799999999999985	6.0	0.17809248355760463	16.79999999999997	2.0	0.29902129439725555	dead (regular)	increased lifespan and used more
PDC1	YLR044C	Anaerobic excretion	phase 2	25	1.0869565217391304	1.2434791741593512	0.35714151750087453	23.800000000000068	16.0	0.02074340867030759	9.199999999999983	8.0	0.21602399333613484	7.39999999999999	1.0	0.2800286039100164	dead (regular)	increased lifespan and used more
